original_path,original_size_bytes,avif_size_bytes,avif_compression_ratio
oc-content/uploads/15970/15970_original.png,468402,19747,23.72
oc-content/uploads/15970/15970_preview.png,309944,13887,22.32
oc-content/uploads/15970/15970.png,530635,19600,27.07
oc-content/uploads/15970/15970_thumbnail.png,102969,6416,16.05
oc-content/uploads/39386/39386_preview.png,145875,3902,37.38
oc-content/uploads/39386/39386.png,241723,5426,44.55
oc-content/uploads/39386/39386_thumbnail.png,53935,1994,27.05
oc-content/uploads/39386/39386_original.png,194091,5463,35.53
oc-content/uploads/68524/68524_original.png,114304,4663,24.51
oc-content/uploads/68524/68524_preview.png,129613,4492,28.85
oc-content/uploads/68524/68524_thumbnail.png,49331,2510,19.65
oc-content/uploads/68524/68524.png,204557,6144,33.29
oc-content/uploads/38254/38254_thumbnail.png,66379,2117,31.36
oc-content/uploads/38254/38254_original.png,196812,4719,41.71
oc-content/uploads/38254/38254.png,289744,5683,50.98
oc-content/uploads/38254/38254_preview.png,179352,4122,43.51
oc-content/uploads/1069/1069.png,407456,13655,29.84
oc-content/uploads/1069/1069_original.png,340777,14149,24.08
oc-content/uploads/1069/1069_preview.png,238489,8776,27.18
oc-content/uploads/1069/1069_thumbnail.png,80695,3692,21.86
oc-content/uploads/59263/59263_original.png,272789,13585,20.08
oc-content/uploads/59263/59263_preview.png,289834,12378,23.42
oc-content/uploads/59263/59263_thumbnail.png,99623,5576,17.87
oc-content/uploads/59263/59263.png,488006,17115,28.51
oc-content/uploads/75895/75895.png,355223,9545,37.22
oc-content/uploads/75895/75895_original.png,206192,7207,28.61
oc-content/uploads/75895/75895_preview.png,216282,6739,32.09
oc-content/uploads/75895/75895_thumbnail.png,78341,3295,23.78
oc-content/uploads/21379/21379.png,655192,38120,17.19
oc-content/uploads/21379/21379_preview.png,377968,26071,14.5
oc-content/uploads/21379/21379_original.png,564810,38631,14.62
oc-content/uploads/21379/21379_thumbnail.png,117781,9128,12.9
oc-content/uploads/71409/71409_thumbnail.png,44709,2275,19.65
oc-content/uploads/71409/71409.png,226928,9918,22.88
oc-content/uploads/71409/71409_preview.png,135600,6456,21.0
oc-content/uploads/71409/71409_original.png,148803,8980,16.57
oc-content/uploads/62822/62822_original.png,194659,6141,31.7
oc-content/uploads/62822/62822_preview.png,143510,3882,36.97
oc-content/uploads/62822/62822.png,239450,6005,39.88
oc-content/uploads/62822/62822_thumbnail.png,52304,1896,27.59
oc-content/uploads/83510/83510_thumbnail.png,70657,2987,23.65
oc-content/uploads/83510/83510.png,315002,8510,37.02
oc-content/uploads/83510/83510_original.png,179647,6163,29.15
oc-content/uploads/83510/83510_preview.png,192281,6015,31.97
oc-content/uploads/53759/53759.png,487055,17643,27.61
oc-content/uploads/53759/53759_preview.png,294909,12584,23.44
oc-content/uploads/53759/53759_original.png,217510,11922,18.24
oc-content/uploads/53759/53759_thumbnail.png,103270,5627,18.35
oc-content/uploads/74947/74947_thumbnail.png,79360,4436,17.89
oc-content/uploads/74947/74947_original.png,345008,16593,20.79
oc-content/uploads/74947/74947_preview.png,237701,11017,21.58
oc-content/uploads/74947/74947.png,405693,16863,24.06
oc-content/uploads/1855/1855.png,313137,7723,40.55
oc-content/uploads/1855/1855_preview.png,189691,5640,33.63
oc-content/uploads/1855/1855_original.png,264428,7684,34.41
oc-content/uploads/1855/1855_thumbnail.png,68799,3089,22.27
oc-content/uploads/30805/30805_thumbnail.png,98490,7751,12.71
oc-content/uploads/30805/30805_preview.png,291034,21231,13.71
oc-content/uploads/30805/30805.png,480530,30165,15.93
oc-content/uploads/30805/30805_original.png,279957,24065,11.63
oc-content/uploads/34499/34499_original.png,388845,15003,25.92
oc-content/uploads/34499/34499_preview.png,276524,10087,27.41
oc-content/uploads/34499/34499.png,462219,14589,31.68
oc-content/uploads/34499/34499_thumbnail.png,91950,4078,22.55
oc-content/uploads/81247/81247.png,307449,11241,27.35
oc-content/uploads/81247/81247_original.png,203574,9913,20.54
oc-content/uploads/81247/81247_preview.png,184255,7896,23.34
oc-content/uploads/81247/81247_thumbnail.png,63277,3595,17.6
oc-content/uploads/80395/80395_thumbnail.png,69197,2345,29.51
oc-content/uploads/80395/80395_preview.png,189985,4811,39.49
oc-content/uploads/80395/80395_original.png,174523,5480,31.85
oc-content/uploads/80395/80395.png,312295,7300,42.78
oc-content/uploads/26960/26960.png,386254,13986,27.62
oc-content/uploads/26960/26960_preview.png,231533,9389,24.66
oc-content/uploads/26960/26960_thumbnail.png,78776,3635,21.67
oc-content/uploads/26960/26960_original.png,231288,11189,20.67
oc-content/uploads/79664/79664.png,349937,9138,38.29
oc-content/uploads/79664/79664_thumbnail.png,77282,3033,25.48
oc-content/uploads/79664/79664_preview.png,213355,6437,33.15
oc-content/uploads/79664/79664_original.png,192040,6687,28.72
oc-content/uploads/29114/29114.png,441139,22563,19.55
oc-content/uploads/29114/29114_preview.png,257466,15539,16.57
oc-content/uploads/29114/29114_original.png,366980,24519,14.97
oc-content/uploads/29114/29114_thumbnail.png,83597,4857,17.21
oc-content/uploads/30039/30039_original.png,278885,10686,26.1
oc-content/uploads/30039/30039_thumbnail.png,88287,4112,21.47
oc-content/uploads/30039/30039_preview.png,255235,9248,27.6
oc-content/uploads/30039/30039.png,422953,13075,32.35
oc-content/uploads/9204/9204_original.png,104852,3762,27.87
oc-content/uploads/9204/9204.png,222751,6134,36.31
oc-content/uploads/9204/9204_thumbnail.png,52641,2118,24.85
oc-content/uploads/9204/9204_preview.png,137841,4095,33.66
oc-content/uploads/48123/48123_thumbnail.png,101443,6375,15.91
oc-content/uploads/48123/48123_preview.png,324430,21472,15.11
oc-content/uploads/48123/48123.png,567690,32245,17.61
oc-content/uploads/48123/48123_original.png,481851,32869,14.66
oc-content/uploads/18653/18653.png,514282,24023,21.41
oc-content/uploads/18653/18653_preview.png,306081,18034,16.97
oc-content/uploads/18653/18653_thumbnail.png,103028,8026,12.84
oc-content/uploads/18653/18653_original.png,360932,22476,16.06
oc-content/uploads/797/797_thumbnail.png,90487,4857,18.63
oc-content/uploads/797/797_original.png,401479,18510,21.69
oc-content/uploads/797/797.png,468425,17987,26.04
oc-content/uploads/797/797_preview.png,270821,11769,23.01
oc-content/uploads/47957/47957_thumbnail.png,60724,2420,25.09
oc-content/uploads/47957/47957.png,282525,7458,37.88
oc-content/uploads/47957/47957_original.png,229625,7758,29.6
oc-content/uploads/47957/47957_preview.png,171229,5252,32.6
oc-content/uploads/60749/60749_preview.png,258759,9047,28.6
